Model,AUPRC,Precision,Recall,F1,Threshold
Logistic Regression,0.7213150704689043,0.01618353192246132,0.9285714285714286,0.031812620171298725,0.2
Naive Bayes,0.08635707443775538,0.053217821782178217,0.8775510204081632,0.10035005834305717,0.2
Decision Tree,0.4243836277013305,0.055884286653517426,0.8673469387755102,0.10500308832612724,0.2
Random Forest,0.872501644694903,0.5827814569536424,0.8979591836734694,0.7068273092369478,0.2
XGBoost,0.854602333717283,0.1934065934065934,0.8979591836734694,0.3182640144665461,0.2
